"Index,""Quantity"",""Part Number"",""Manufacturer Part Number"",""Description"",""Customer Reference"",""Available"",""Backorder"",""Unit Price"",""Extended Price USD"""
"1,""15"",""609-5207-1-ND"",""SFV4R-3STBE1HLF"",""CONN FPC BOTTOM 4POS 0.50MM R/A"","""",""15"",""0"",""0.28200"",""4.23"""
"2,""15"",""296-18509-1-ND"",""PCA9306DCTR"",""IC TRNSLTR BIDIRECTIONAL SM8"","""",""15"",""0"",""0.59100"",""8.87"""
